Borough,Latitude,Longitude
Barking and Dagenham,51.5464828,0.1293497
Barnet,51.6251502,-0.152936
Bexley,51.4519021,0.1171786
Brent,51.5672808,-0.2710568
Bromley,51.3679705,0.070062
Camden,51.5517059,-0.1588255
City of London,51.5073509,-0.1277583
Croydon,51.3679705,-0.070062
Ealing,51.5250257,-0.3415002
Enfield,51.6622925,-0.1180655
Greenwich,51.483462,0.0586198
Hackney,51.552099,-0.062405
Hammersmith and Fulham,51.499017,-0.2291497
Haringey,51.5906113,-0.1109709
Harrow,51.5881411,-0.3422736
Havering,51.577924,0.2120829
Hillingdon,51.5351832,-0.4481378
Hounslow,51.4828358,-0.3882062
Islington,51.5465063,-0.1058058
Kensington and Chelsea,51.4990805,-0.1938253
Kingston upon Thames,51.378117,-0.292709
Lambeth,51.4571477,-0.1230681
Lewisham,51.4414579,-0.0117006
Merton,51.4097735,-0.2108092
Newham,51.5255162,0.0352163
Redbridge,51.58861,0.0823976
Richmond upon Thames,51.4613054,-0.3037709
Southwark,51.481694,-0.077086
Sutton,51.3573721,-0.175281
Tower Hamlets,51.5202607,-0.0293396
Waltham Forest,51.5886383,-0.0117625
Wandsworth,51.4570716,-0.1817824
Westminster,51.5001754,-0.1332326